
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,1,10,10
10,100,1000,1001
1001,1009,1010,1014
1017,1017,102,102
1021,1021,1024,103
103,1037,1045,1059
106,1060,1071,1074
1074,1075,1075,1075
10751,10752,10763,1077
1077,1078,1084,1084
1086,1086,1087,1087
1087,1088,1088,1088
10887,1089,109,109
109,1090,1092,10943
1098,1099,1099,11
11,11,110,1101
11015,1102,1104,1108
1108,1109,1109,11145
11175,1119,1124,1124
1127,1129,113,1134
1134,1139,1139,1144
1145,1147,1158,1159
116,116,1160,1162
1163,1164,1173,1176
118,1184,1184,1186
1186,1189,1193,1194
1198,12,1201,1202
1215,1215,122,1222
1226,1235,12357,1236
1239,1241,1247,1247
125,1252,1253,1264
1267,1269,1277,128
1280,1294,1296,1297
13,13,130,1302
1304,1307,1315,1330
1332,134,1344,1349
1349,1349,136,136
1361,1366,137,137
1374,1374,1380,1385
139,1394,14,14
1402,1402,1404,1404
14290,143,1434,1438
1445,1446,1450,1453
1456,1458,146,146
1466,1478,148,148
1485,1486,1488,1494
15,1524,1534,154
1545,1546,15509,1555
1564,1570,1599,16
160,1609,1620,1620
16263,163,165,165
16516,166,1662,1663
1664,1672,1674,1675
1692,1694,17,17
1710,1718,1722,17443
1749,175,1756,176
177,1799,18,1823
1828,183,183,183
1830,184,184,18432
1864,1894,19,1900
1909,191,191,19295
1940,1944,1948,1951
196,1961,1963,1978
198,198,1983,2
2,2,2,20
20,200,2004,201
2030,204,2046,205
205,2052,2055,206
2069,207,207,2079
2080,209,21,21
2105,2113,2118,2133
2147,2151,2152,2154
2154,216,2161,2173
22,22022,2203,2216
222,2220,2237,224
225,226,226,226
2269,2287,2310,2324
2339,234,235,236
236,237,238,2389
2393,24,24,24
2408,241,241,243
244,244,246,24658
247,2479,25,25
25,2502,2505,253
253,257,2571,2579
26,2636,2650,266
2661,2664,2669,267
2680,27,270,2705
2707,272,276,2772
2784,2785,28,280
281,281,285,2853
2869,288,2886,2889
2897,29,290,291
291,292,2922,2925
294,2968,297,297
2973,298,299,2994
3,3,3,3
30,30,30,300
301,3041,3079,3086
31,310,3104,311
3110,314,314,315
316,318,3184,319
3195,32,3206,323
326,3260,3260,3272
328,329,33,330
330,3307,331,3334
334,336,3361,3365
337,3379,34,34
3416,344,3440,3441
3444,345,349,3497
35,350,352,355
357,3575,358,3583
3583,3588,3603,3616
362,3625,3627,3633
3637,365,366,3667
3676,3684,3689,369
3690,3699,3705,3709
3713,372,375,3779
378,3788,38,380
381,384,384,3855
386,3885,392,392
392,3946,397,4
4,4,40,4005
4007,4011,4018,402
405,405,405,406
407,4094,41,413
4132,415,416,4172
4185,42,42,42
42,421,4211,4213
4234,424,425,4266
427,427,428,43
43,432,4328,434
4352,4355,438,438
441,441,442,4468
447,4474,448,450
450,450,4501,451
4516,453,456,456
457,460,461,461
462,462,4620,465
467,468,469,4696
47,4701,4726,474
4748,4759,476,479
4823,483,4851,486
4867,4897,49,490
495,497,497,5
5,5,5029,5079
5090,51,51,512
514,516,516,519
524,5253,526,528
53,5304,531,531
5314,532,532,5324
536,5360,5378,538
54,543,543,547
548,5496,55,55
552,559,565,5657
566,5670,568,569
571,576,577,5784
5789,58,58,58
583,586,588,591
5927,5980,599,599
6,6,6,6
60,60373,604,607
607,6084,61,612
614,6143,616,6162
6169,617,619,6217
624,628,63,632
633,6359,638,643
6430,645,649,6524
656,657,66,67
67,67,67,671
672,673,674,6753
68,68,68,688
689,690,699,7
7,7,7,70
70,704,706,7068
71,71,713,7146
715,7153,7165,7167
719,72,721,721
722,724,73,731
731,731,732,732
736,738,738,740
741,7419,747,747
7482,756,757,758
76,760,762,766
769,770,774,78
78,78,78,7816
788,7883,79,798
799,8,8,8
8,805,808,809
809,81,8133,8165
8191,82,8261,827
828,831,834,836
84,842,842,844
846,846,855,86
860,8649,867,8695
87,87,871,88
890,8918,8921,893
9,90,901,902
912,914,916,919
92,92,93,93
94,94,943,945
95,954,96,962
9724,987,991,992
993,996,997,NaN
